total_spent_so_far,day_of_month,avg_daily_spend,food_spend,transport_spend,shopping_spend,bnpl_spend,entertainment_spend,days_remaining,budget,spend_ratio,income,bnpl_total,num_loans,savings,bnpl_ratio,savings_ratio,persona,has_bnpl,description,actual_month_total,risk_score
132.77,23,5.77,62.87,22.93,11.04,0.0,7.23,7,95.42,1.391,111.91,0.0,0,0.12,0.0,0.001,broke,0,"Village family allowance, studying in Phnom Penh",179.02,24.27
109.95,21,5.24,58.66,17.49,9.47,0.0,4.89,9,108.67,1.012,138.13,0.0,0,3.05,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",175.76,8.84
177.12,26,6.81,80.65,31.44,12.61,0.0,9.25,4,131.89,1.343,171.84,0.0,0,5.95,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",217.59,21.12
84.82,22,3.86,43.6,16.55,6.29,0.0,3.86,8,86.43,0.981,95.28,0.0,0,3.1,0.0,0.033,broke,0,"Village family allowance, studying in Phnom Penh",108.71,19.82
120.98,23,5.26,62.65,24.15,8.87,4.28,6.02,7,121.23,0.998,144.96,12.85,1,0.0,0.089,0.0,broke,1,"Village family allowance, studying in Phnom Penh",157.39,23.04
13.22,2,6.61,6.0,2.24,1.01,0.0,0.67,28,104.67,0.126,128.18,0.0,0,0.65,0.0,0.005,broke,0,"Village family allowance, studying in Phnom Penh",207.29,5.94
28.94,5,5.79,15.77,5.8,2.14,0.0,1.52,25,150.8,0.192,185.45,0.0,0,6.45,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",159.91,5.22
5.58,1,5.58,2.68,1.09,0.39,0.0,0.26,29,122.69,0.045,141.95,0.0,0,5.31,0.0,0.037,broke,0,"Village family allowance, studying in Phnom Penh",164.02,5.14
19.39,6,3.23,9.94,3.26,1.6,0.0,0.99,24,77.82,0.249,93.98,0.0,0,0.71,0.0,0.008,broke,0,"Village family allowance, studying in Phnom Penh",84.82,7.07
38.59,7,5.51,18.18,6.3,3.4,0.0,2.06,23,120.27,0.321,152.52,0.0,0,3.19,0.0,0.021,broke,0,"Village family allowance, studying in Phnom Penh",185.78,0.0
93.62,18,5.2,52.18,15.56,8.03,0.0,4.49,12,98.92,0.946,119.65,0.0,0,2.17,0.0,0.018,broke,0,"Village family allowance, studying in Phnom Penh",155.8,14.7
104.5,17,6.15,49.96,20.67,7.48,0.0,5.47,13,134.06,0.78,149.4,0.0,0,4.81,0.0,0.032,broke,0,"Village family allowance, studying in Phnom Penh",173.83,9.22
94.15,21,4.48,44.32,15.81,6.88,8.64,5.11,9,80.33,1.172,109.11,25.93,1,0.0,0.238,0.0,broke,1,"Village family allowance, studying in Phnom Penh",139.2,38.52
103.93,24,4.33,54.24,17.52,9.2,0.0,5.66,6,87.29,1.191,108.69,0.0,0,3.3,0.0,0.03,broke,0,"Village family allowance, studying in Phnom Penh",133.37,15.59
44.09,7,6.3,21.32,8.66,3.72,0.0,2.0,23,126.45,0.349,157.62,0.0,0,4.02,0.0,0.026,broke,0,"Village family allowance, studying in Phnom Penh",201.25,7.06
31.33,8,3.92,15.78,5.6,2.45,0.0,1.69,22,73.44,0.427,85.66,0.0,0,2.33,0.0,0.027,broke,0,"Village family allowance, studying in Phnom Penh",131.6,3.45
95.86,17,5.64,45.04,17.41,8.57,18.85,5.2,13,90.8,1.056,113.22,56.54,1,0.0,0.499,0.0,broke,1,"Village family allowance, studying in Phnom Penh",171.24,50.08
96.87,20,4.84,50.66,16.05,7.4,10.06,4.85,10,103.49,0.936,121.47,30.17,1,0.0,0.248,0.0,broke,1,"Village family allowance, studying in Phnom Penh",154.68,27.95
129.81,26,4.99,62.46,21.19,10.56,9.62,6.62,4,105.89,1.226,145.65,28.87,1,0.0,0.198,0.0,broke,1,"Village family allowance, studying in Phnom Penh",140.92,40.43
50.32,10,5.03,27.04,8.71,3.96,0.0,2.73,20,119.8,0.42,133.25,0.0,0,0.43,0.0,0.003,broke,0,"Village family allowance, studying in Phnom Penh",157.5,7.49
114.18,17,6.72,52.69,18.62,9.88,0.0,5.87,13,138.1,0.827,169.0,0.0,0,5.71,0.0,0.034,broke,0,"Village family allowance, studying in Phnom Penh",186.79,8.26
24.4,5,4.88,13.25,4.57,1.92,0.0,1.35,25,131.22,0.186,146.66,0.0,0,1.21,0.0,0.008,broke,0,"Village family allowance, studying in Phnom Penh",163.67,0.9
68.49,19,3.6,36.3,12.2,5.93,0.0,3.11,11,69.2,0.99,86.34,0.0,0,0.42,0.0,0.005,broke,0,"Village family allowance, studying in Phnom Penh",113.58,12.46
108.94,25,4.36,50.57,21.53,9.26,0.0,5.68,5,110.9,0.982,125.36,0.0,0,2.34,0.0,0.019,broke,0,"Village family allowance, studying in Phnom Penh",119.61,10.65
50.22,16,3.14,22.38,8.69,3.93,0.0,2.35,14,86.26,0.582,107.09,0.0,0,0.17,0.0,0.002,broke,0,"Village family allowance, studying in Phnom Penh",97.74,12.63
14.28,2,7.14,6.38,2.45,1.14,0.0,0.66,28,156.77,0.091,182.06,0.0,0,3.95,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",205.33,6.94
142.32,22,6.47,68.63,26.88,11.44,0.0,6.47,8,160.62,0.886,186.12,0.0,0,4.45,0.0,0.024,broke,0,"Village family allowance, studying in Phnom Penh",203.27,5.51
153.84,20,7.69,80.48,29.24,13.77,4.12,7.3,10,132.59,1.16,171.9,12.35,1,0.0,0.072,0.0,broke,1,"Village family allowance, studying in Phnom Penh",232.77,25.98
48.5,9,5.39,22.4,8.76,4.2,0.0,2.18,21,168.2,0.288,197.29,0.0,0,3.93,0.0,0.02,broke,0,"Village family allowance, studying in Phnom Penh",170.51,5.39
31.06,2,15.53,17.24,5.25,2.39,0.0,1.7,28,167.6,0.185,184.7,0.0,0,3.33,0.0,0.018,broke,0,"Village family allowance, studying in Phnom Penh",492.67,7.62
22.29,4,5.57,11.52,4.29,1.74,0.0,0.98,26,123.33,0.181,162.53,0.0,0,4.79,0.0,0.029,broke,0,"Village family allowance, studying in Phnom Penh",171.14,0.0
25.3,2,12.65,11.35,4.23,1.95,11.53,1.3,28,106.05,0.239,139.53,34.6,1,0.0,0.248,0.0,broke,1,"Village family allowance, studying in Phnom Penh",353.5,24.95
62.57,19,3.29,30.91,10.71,5.52,0.0,2.85,11,83.12,0.753,105.63,0.0,0,2.97,0.0,0.028,broke,0,"Village family allowance, studying in Phnom Penh",90.77,3.61
35.36,6,5.89,17.87,5.8,2.96,0.0,1.89,24,110.49,0.32,133.54,0.0,0,1.59,0.0,0.012,broke,0,"Village family allowance, studying in Phnom Penh",155.79,0.0
96.65,24,4.03,43.72,15.36,7.06,0.0,5.08,6,82.67,1.169,92.81,0.0,0,3.22,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",132.34,24.55
171.05,30,5.7,81.61,30.4,13.37,0.0,9.55,0,116.32,1.47,139.28,0.0,0,4.1,0.0,0.029,broke,0,"Village family allowance, studying in Phnom Penh",171.05,31.11
28.54,5,5.71,14.32,4.65,2.24,0.0,1.41,25,99.5,0.287,110.28,0.0,0,1.17,0.0,0.011,broke,0,"Village family allowance, studying in Phnom Penh",188.58,0.0
91.71,18,5.09,41.96,17.79,6.87,7.28,4.75,12,108.85,0.842,145.4,21.84,1,0.0,0.15,0.0,broke,1,"Village family allowance, studying in Phnom Penh",154.83,22.46
99.28,14,7.09,50.62,17.01,7.05,0.0,5.12,16,141.81,0.7,178.36,0.0,0,1.51,0.0,0.008,broke,0,"Village family allowance, studying in Phnom Penh",212.45,8.33
69.45,11,6.31,35.46,11.63,5.2,0.0,3.58,19,110.54,0.628,126.84,0.0,0,4.13,0.0,0.033,broke,0,"Village family allowance, studying in Phnom Penh",192.43,8.38
159.65,30,5.32,72.46,31.11,11.67,0.0,8.02,0,125.8,1.269,160.31,0.0,0,3.13,0.0,0.02,broke,0,"Village family allowance, studying in Phnom Penh",159.65,19.85
62.2,7,8.89,31.42,11.09,4.98,0.0,2.79,23,126.4,0.492,160.68,0.0,0,2.19,0.0,0.014,broke,0,"Village family allowance, studying in Phnom Penh",272.8,6.39
79.21,12,6.6,42.11,15.29,6.16,0.0,3.88,18,87.97,0.9,97.93,0.0,0,0.68,0.0,0.007,broke,0,"Village family allowance, studying in Phnom Penh",181.39,14.18
72.77,15,4.85,34.14,12.97,6.18,0.0,3.38,15,120.07,0.606,134.15,0.0,0,2.43,0.0,0.018,broke,0,"Village family allowance, studying in Phnom Penh",133.81,11.6
70.8,15,4.72,36.43,13.17,5.94,0.0,3.21,15,105.7,0.67,120.65,0.0,0,0.99,0.0,0.008,broke,0,"Village family allowance, studying in Phnom Penh",146.52,5.35
83.95,18,4.66,43.41,16.14,7.42,0.0,4.39,12,105.16,0.798,136.56,0.0,0,4.04,0.0,0.03,broke,0,"Village family allowance, studying in Phnom Penh",129.81,4.86
95.86,22,4.36,47.62,17.34,7.1,0.0,4.75,8,80.4,1.192,88.7,0.0,0,1.43,0.0,0.016,broke,0,"Village family allowance, studying in Phnom Penh",121.02,20.37
35.37,2,17.69,19.15,5.9,3.05,0.0,1.8,28,167.09,0.212,183.63,0.0,0,6.61,0.0,0.036,broke,0,"Village family allowance, studying in Phnom Penh",574.93,7.35
175.72,24,7.32,77.53,28.96,14.99,0.0,8.67,6,152.25,1.154,184.13,0.0,0,7.12,0.0,0.039,broke,0,"Village family allowance, studying in Phnom Penh",234.34,11.93
76.58,12,6.38,37.49,14.61,6.41,0.0,4.28,18,170.22,0.45,190.36,0.0,0,1.59,0.0,0.008,broke,0,"Village family allowance, studying in Phnom Penh",187.29,4.49
131.09,20,6.55,65.53,24.17,9.39,0.0,6.9,10,143.45,0.914,182.83,0.0,0,6.45,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",200.99,1.79
41.83,3,13.94,21.99,8.3,3.36,0.0,1.9,27,180.26,0.232,197.83,0.0,0,6.99,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",388.61,4.54
100.83,16,6.3,45.33,17.54,8.76,6.58,4.72,14,138.07,0.73,154.71,19.74,1,0.0,0.128,0.0,broke,1,"Village family allowance, studying in Phnom Penh",177.24,31.02
72.57,11,6.6,35.29,12.81,5.89,0.0,3.2,19,88.88,0.816,106.45,0.0,0,3.7,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",203.9,7.0
177.32,25,7.09,90.83,33.43,12.79,0.0,8.86,5,161.22,1.1,190.4,0.0,0,2.82,0.0,0.015,broke,0,"Village family allowance, studying in Phnom Penh",216.88,13.86
57.89,18,3.22,30.07,10.06,4.97,0.0,2.75,12,80.52,0.719,102.75,0.0,0,1.77,0.0,0.017,broke,0,"Village family allowance, studying in Phnom Penh",101.67,1.38
17.71,4,4.43,9.05,3.48,1.55,0.0,0.94,26,113.86,0.156,135.12,0.0,0,5.03,0.0,0.037,broke,0,"Village family allowance, studying in Phnom Penh",126.1,2.97
160.64,28,5.74,79.63,28.45,13.78,12.49,8.49,2,139.23,1.154,174.39,37.48,1,0.0,0.215,0.0,broke,1,"Village family allowance, studying in Phnom Penh",165.12,41.06
13.81,4,3.45,7.67,2.36,1.2,14.37,0.67,26,60.14,0.23,86.25,43.12,1,0.0,0.5,0.0,broke,1,"Village family allowance, studying in Phnom Penh",109.83,38.99
81.73,11,7.43,40.89,13.24,6.73,0.0,3.93,19,106.79,0.765,123.6,0.0,0,0.52,0.0,0.004,broke,0,"Village family allowance, studying in Phnom Penh",227.91,5.06
125.89,23,5.47,66.83,21.6,10.3,0.0,6.35,7,135.22,0.931,172.25,0.0,0,5.29,0.0,0.031,broke,0,"Village family allowance, studying in Phnom Penh",143.18,7.33
72.08,15,4.81,35.79,11.91,5.12,0.0,3.99,15,100.01,0.721,114.84,0.0,0,0.68,0.0,0.006,broke,0,"Village family allowance, studying in Phnom Penh",133.82,13.17
166.97,27,6.18,73.74,26.59,14.87,0.0,7.79,3,143.29,1.165,189.39,0.0,0,4.71,0.0,0.025,broke,0,"Village family allowance, studying in Phnom Penh",168.48,20.49
141.91,20,7.1,70.72,27.01,12.35,0.0,7.31,10,143.2,0.991,190.54,0.0,0,4.35,0.0,0.023,broke,0,"Village family allowance, studying in Phnom Penh",198.72,8.84
74.33,13,5.72,41.46,12.21,5.68,0.0,3.7,17,151.17,0.492,192.03,0.0,0,5.79,0.0,0.03,broke,0,"Village family allowance, studying in Phnom Penh",170.2,9.36
108.75,27,4.03,51.19,18.12,9.05,0.0,4.79,3,91.54,1.188,101.09,0.0,0,1.03,0.0,0.01,broke,0,"Village family allowance, studying in Phnom Penh",110.23,17.04
19.31,2,9.65,10.02,3.1,1.4,0.0,1.05,28,126.28,0.153,138.18,0.0,0,1.77,0.0,0.013,broke,0,"Village family allowance, studying in Phnom Penh",309.68,2.47
84.65,12,7.05,42.65,15.17,7.1,0.0,3.79,18,154.34,0.549,182.79,0.0,0,6.94,0.0,0.038,broke,0,"Village family allowance, studying in Phnom Penh",193.69,3.42
121.17,21,5.77,57.43,23.88,8.59,0.0,5.84,9,135.45,0.895,148.82,0.0,0,5.13,0.0,0.034,broke,0,"Village family allowance, studying in Phnom Penh",160.25,9.91
66.28,16,4.14,30.97,11.3,4.83,0.0,3.42,14,89.3,0.742,101.98,0.0,0,2.28,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",111.53,1.75
74.13,11,6.74,37.46,11.77,5.35,0.0,3.31,19,141.97,0.522,164.95,0.0,0,1.69,0.0,0.01,broke,0,"Village family allowance, studying in Phnom Penh",189.46,11.07
165.91,24,6.91,89.52,31.33,14.69,0.0,8.11,6,147.42,1.125,165.97,0.0,0,5.83,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",203.15,13.02
118.53,24,4.94,54.85,22.24,8.55,0.0,6.25,6,91.12,1.301,102.64,0.0,0,2.17,0.0,0.021,broke,0,"Village family allowance, studying in Phnom Penh",149.52,29.68
